English,Hebrew
‏- Swivel,להסתובב
‏- Swollen,נפוח
‏- Symbol,סמל
‏- System,"שיטה, מערכת"
‏- Table,טבלה
‏- Tail,זנב
‏- Take-Off,המראה
‏- Tank,מכל
‏- Target,מטרה
‏- Tear,"דמעה, לקרוע"
‏- Template,תבנית
‏- Temporary,זמני
‏- Tension,"מתח, נטייה"
‏- Terminal,קצה
‏- Termination,סיום
‏- Test,"בדיקה, לבדוק"
‏- Test Run,הרצאה בסיסית
‏- Thickness,עובי
‏- Thin,דק
‏- Thread,תבריג (נבנה)
‏- Through,"דרך, מעבר, על-ידי"
‏- Throttle,מצערת
‏- Thrust,דחף
‏- Tie-Down,"לקשור, לקבע, צב"
‏- Tight,"חזק, מהודק, צר"
‏- Tighten,"להדק, לכווץ, לשירות, שיפוץ"
‏- Tilt,זווית
‏- Time-Expired,פג תוקף
‏- Time Table,לוח זמנים
‏- Timing,תיזמון
‏- Tip,קצה
‏- Tire,צמיג
‏- Tolerance,אפציות
‏- Tool,כלי
‏- Top,עליון
‏- Torn,קרוע
"‏- Torque, Torsion","מומנט, פיתול"
‏- Tow,לגרור
‏- Toxic,רעיל
‏- Trace,"לעקוב, לאתר"
‏- Trailing Edge,שפת התקפה
‏- Transceiver,משדר/מקלט
‏- Transducer,ממיר
‏- Transfer,"העברה, להעביר"
‏- Transformer,שנאי
‏- Transmit,לשדר
‏- Trapped,לכוד
‏- Travel,תנועה
‏- Treshold,סף
‏- Triangle,משולש
‏- Trigger,"הדק, להפעיל"
‏- Trim,לקזז
‏- Triple,"פי שלושה, לשלש"
‏- Tripped,"נפתח (חשמלית), נותק"
‏- Tripped (Circuit),מעגל פתוח (מנותק)
‏- Troubleshooting,איתור תקלות
‏- Tube,"צינור, שפופרת"
‏- Tune,לכוון
‏- Tuning,כיוונון
‏- Turbulence,מערבולת אוויר
‏- Turn,"לסובב, להסתובב, סיבוב, סיבה"
‏- Twisted,מעוות
‏- Union,איחוד
‏- Unit,יחידה
‏- Unsafe Condition,מצב מסוכן
‏- Unserviceable,לא כשיר
‏- Unstable,לא יציב
‏- Upper,עליון
‏- Upside Down,מהופך
‏- Upstream,במעלה הזרם
‏- Utilize,לנצל
‏- Vacuum,ריק (חלל)
‏- Valid,תקף
‏- Validation,מתן תוקף
‏- Validity,תקפות
‏- Valve,שסתום
‏- Vane,להב
‏- Vapour,אדים
‏- Variable,משתנה
‏- Velocity,מהירות
‏- Vendor,מוכר
‏- Vent,צינור
‏- Ventilate,פתח אוורור
‏- Verification,אימות
‏- Verify,לאמת
‏- Version,גרסה
‏- Vertical,אנכי
‏- Via,דרך
‏- Vibration,רטט
‏- View,"מראה, מבט, לראות"
‏- Viscosity,צמיגות
‏- Visual,חזותי
‏- Visually,באופן חזותי
‏- Vital,חיוני
‏- Volatile,"נדיף, מתנדף בקלות"
‏- Voltage,מתח
‏- Volume,"נפח, עצמה (ברדיו)"
‏- Wall,"דופן, קיר"
‏- Warm,חמים
‏- Warning,"אזהרה, התרעה"
‏- Warped,מעוות
‏- Washer,דיסקית
‏- Waterline,קו מים
‏- Weak,חלש
‏- Wear,"בלוי, שחיקה, לבלות"
‏- Wedge,טריז
‏- Weight,משקל
‏- Weld,"חלק מרותך, לרתך"
‏- Wet,"לח, רטוב, להרטיב"
‏- Wheel,גלגל
‏- Wheelwell,בית כן נסע
‏- Wide,רחב
‏- Width,רוחב
‏- Window,חלון
‏- Windshear,גזירת רוח
‏- Windshield,מגן רוח
‏- Wing,כנף
‏- Wipe,"לנגב, למחוק"
‏- Wiper,מגב
‏- Wire,חוט
‏- Wire Bundle,צרור חוטים
‏- Wiring,חיווט
‏- Wiring Diagram,תרשים חיווט
‏- Worn,שחוק
‏- Wrench,מפתח ברגים
‏- Wrinkled,מקומט
‏- Yaw,סיבוב
‏- Yield,"הספק, תפוקה"
‏- Zero,אפס
‏- Zone,אזור
